feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z132,132,in_feedforward_loop,-0.08656809086702848,4.166811227449918e-08,0.08656809086702848,0.0,0.0,True
z134,134,in_feedforward_loop,-0.01922297322411319,0.22417548807198742,0.01922297322411319,0.144,0.1527513812154696,False
z136,136,in_feedforward_loop,-0.08327042659746436,1.3348237030083396e-07,0.08327042659746436,0.0,0.0,True
z154,154,in_feedforward_loop,-0.11465671752381126,3.509197908464669e-13,0.11465671752381126,0.0,0.0,True
z169,169,in_feedforward_loop,-0.08038240461909557,3.5715963310809834e-07,0.08038240461909557,0.0,0.0,True
z173,173,in_feedforward_loop,-0.08376142080014981,1.1254564914291586e-07,0.08376142080014981,0.0,0.0,True
z178,178,in_feedforward_loop,-0.08113975090983218,2.767947869445441e-07,0.08113975090983218,0.0,0.0,True
z182,182,in_feedforward_loop,-0.1207133705974344,1.8560974940427165e-14,0.1207133705974344,0.0,0.0,True
z187,187,in_feedforward_loop,-0.14589117784962174,1.7972826285852404e-20,0.14589117784962174,0.0,0.0,True
z188,188,in_feedforward_loop,-0.02692267701735991,0.08865868179035691,0.02692267701735991,0.054,0.0613491124260355,False
z192,192,in_feedforward_loop,-0.08664201004025385,4.057467782514046e-08,0.08664201004025385,0.0,0.0,True
z195,195,in_feedforward_loop,-0.01903956827809087,0.22862792612935842,0.01903956827809087,0.137,0.14694972067039108,False
z201,201,in_feedforward_loop,-0.08722970549766201,3.2817141891394747e-08,0.08722970549766201,0.0,0.0,True
z204,204,in_feedforward_loop,-0.0930991557722453,3.655283385847435e-09,0.0930991557722453,0.0,0.0,True
z207,207,in_feedforward_loop,-0.11465337474221803,3.514749811513524e-13,0.11465337474221803,0.0,0.0,True
z212,212,in_feedforward_loop,-0.14718677450613638,8.20312577532736e-21,0.14718677450613638,0.0,0.0,True
z217,217,in_feedforward_loop,-0.12056803747005829,1.9952615595376173e-14,0.12056803747005829,0.0,0.0,True
z224,224,in_feedforward_loop,-0.02761061891954956,0.08080470715528222,0.02761061891954956,0.049,0.05667469879518072,False
z225,225,in_feedforward_loop,-0.06803733163387042,1.6570462544942505e-05,0.06803733163387042,0.0,0.0,True
z235,235,in_feedforward_loop,-0.07624577678967959,1.380997753706945e-06,0.07624577678967959,0.0,0.0,True
z237,237,in_feedforward_loop,-0.11475107888959901,3.3559798144070466e-13,0.11475107888959901,0.0,0.0,True
z239,239,in_feedforward_loop,-0.08583224333982988,5.4231844359622756e-08,0.08583224333982988,0.0,0.0,True
z244,244,in_feedforward_loop,-0.12921165622562075,2.326730429395372e-16,0.12921165622562075,0.0,0.0,True
