feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z401,401,in_feedback_loop,0.15093438090444622,8.152878578411327e-22,0.15093438090444622,0.0,0.0,True
z410,410,in_feedback_loop,0.07488466175976691,2.123516243292108e-06,0.07488466175976691,0.0,0.0,True
z421,421,in_feedback_loop,0.07241080672514694,4.556216903557898e-06,0.07241080672514694,0.0,0.0,True
z424,424,in_feedback_loop,0.13005624776585864,1.4812939167594871e-16,0.13005624776585864,0.0,0.0,True
z425,425,in_feedback_loop,0.07463074367158852,2.299140946977392e-06,0.07463074367158852,0.0,0.0,True
z428,428,in_feedback_loop,0.11510503075508524,2.837602300399911e-13,0.11510503075508524,0.0,0.0,True
z442,442,in_feedback_loop,0.1464259611747223,1.3013215531227496e-20,0.1464259611747223,0.0,0.0,True
z445,445,in_feedback_loop,0.07518617799108403,1.931674063853577e-06,0.07518617799108403,0.0,0.0,True
z446,446,in_feedback_loop,0.13065362035273742,1.0743883794358487e-16,0.13065362035273742,0.0,0.0,True
z447,447,in_feedback_loop,0.140321336586353,4.8311938292702455e-19,0.140321336586353,0.0,0.0,True
z132,132,in_single_input_module,-0.16726554070840413,1.732278723235446e-26,0.16726554070840413,0.0,0.0,True
z133,133,in_single_input_module,0.014136982419387925,0.37139332827842464,0.014136982419387925,0.36,0.4930731707317073,False
z139,139,in_single_input_module,0.3876488929152028,1.3895136798079924e-143,0.3876488929152028,0.0,0.0,True
z146,146,in_single_input_module,0.1936130189300279,4.385455929403188e-35,0.1936130189300279,0.0,0.0,True
z147,147,in_single_input_module,-0.046597334357831845,0.0032009139492586436,0.046597334357831845,0.002,0.004148148148148148,True
z149,149,in_single_input_module,-0.12015840294766292,2.445106705768195e-14,0.12015840294766292,0.0,0.0,True
z150,150,in_single_input_module,-0.12043590899991369,2.130655740884601e-14,0.12043590899991369,0.0,0.0,True
z155,155,in_single_input_module,-0.07521902067854824,1.911812522566948e-06,0.07521902067854824,0.0,0.0,True
z158,158,in_single_input_module,-0.07270203659464869,4.169786800191623e-06,0.07270203659464869,0.0,0.0,True
z161,161,in_single_input_module,-0.1618368939044338,7.02911083172107e-25,0.1618368939044338,0.0,0.0,True
z163,163,in_single_input_module,0.38890179201471764,1.4023573755889567e-144,0.38890179201471764,0.0,0.0,True
z172,172,in_single_input_module,-0.10734173664694689,1.0004428539818599e-11,0.10734173664694689,0.0,0.0,True
z176,176,in_single_input_module,0.18669367358487643,1.0662725093288406e-32,0.18669367358487643,0.0,0.0,True
z185,185,in_single_input_module,-0.1279451424293792,4.554158152186815e-16,0.1279451424293792,0.0,0.0,True
z189,189,in_single_input_module,-0.10295838432932228,6.711074109386768e-11,0.10295838432932228,0.0,0.0,True
z192,192,in_single_input_module,0.22155805841379733,1.1375373527667325e-45,0.22155805841379733,0.0,0.0,True
z392,392,in_single_input_module,-0.07194550341151591,5.245688995514637e-06,0.07194550341151591,0.0,0.0,True
z398,398,in_single_input_module,-0.08496153545395074,7.387093666446941e-08,0.08496153545395074,0.0,0.0,True
z401,401,in_single_input_module,-0.08629013304261628,4.604113817297026e-08,0.08629013304261628,0.0,0.0,True
z410,410,in_single_input_module,-0.04727906284901971,0.0027813064875537945,0.04727906284901971,0.004,0.007593220338983051,True
z421,421,in_single_input_module,-0.045053905912894626,0.0043717059270572504,0.045053905912894626,0.005,0.00918032786885246,True
z424,424,in_single_input_module,-0.0717826544611169,5.509778244626525e-06,0.0717826544611169,0.0,0.0,True
z425,425,in_single_input_module,-0.047090364230974596,0.0028921166151686987,0.047090364230974596,0.004,0.007593220338983051,True
z428,428,in_single_input_module,-0.06165223766453994,9.551041667095724e-05,0.06165223766453994,0.0,0.0,True
z442,442,in_single_input_module,-0.0829961085834585,1.4677097770522328e-07,0.0829961085834585,0.0,0.0,True
z445,445,in_single_input_module,-0.04704065316509758,0.0029219715007710203,0.04704065316509758,0.004,0.007593220338983051,True
z446,446,in_single_input_module,-0.07248645848349966,4.452661594450503e-06,0.07248645848349966,0.0,0.0,True
z447,447,in_single_input_module,-0.07865727890222757,6.329363972003683e-07,0.07865727890222757,0.0,0.0,True
z132,132,in_cascade,0.008442267176211354,0.5934947972914825,0.008442267176211354,0.604,0.735304347826087,False
z133,133,in_cascade,0.012432933017734385,0.43180167270954595,0.012432933017734385,0.44,0.579764705882353,False
z139,139,in_cascade,-0.06650166271662693,2.56185895863127e-05,0.06650166271662693,0.0,0.0,True
z146,146,in_cascade,-0.005430564510027569,0.7313319791148256,0.005430564510027569,0.719,0.8512,False
z147,147,in_cascade,0.005779934264554637,0.7147800466265439,0.005779934264554637,0.721,0.8512,False
z149,149,in_cascade,-0.01015969145377206,0.520632288098509,0.01015969145377206,0.523,0.6581573033707866,False
z150,150,in_cascade,0.027631666482261414,0.08057362002489243,0.027631666482261414,0.082,0.1258082191780822,False
z155,155,in_cascade,-0.01849788713802193,0.2421444548346755,0.01849788713802193,0.224,0.32164102564102565,False
z158,158,in_cascade,-0.026658905009323976,0.09182858171352448,0.026658905009323976,0.08,0.12444444444444444,False
z161,161,in_cascade,0.0008957648395455254,0.9548355968083951,0.0008957648395455254,0.953,0.9792293577981651,False
z163,163,in_cascade,-0.0657643011995878,3.1477376119618724e-05,0.0657643011995878,0.0,0.0,True
z172,172,in_cascade,0.0022712443465143445,0.8858152394274965,0.0022712443465143445,0.902,0.9613333333333334,False
z176,176,in_cascade,-0.002170464432582146,0.8908494083766068,0.002170464432582146,0.881,0.9613333333333334,False
z185,185,in_cascade,0.014615566336391845,0.355418621262982,0.014615566336391845,0.361,0.4930731707317073,False
z189,189,in_cascade,0.003961735763506207,0.8022124262907104,0.003961735763506207,0.793,0.9251666666666668,False
z192,192,in_cascade,-0.020436430132148867,0.19627255264708743,0.020436430132148867,0.182,0.26821052631578945,False
z392,392,in_cascade,-0.002382463019486948,0.8802649827613029,0.002382463019486948,0.892,0.9613333333333334,False
z398,398,in_cascade,-0.0006542441319677657,0.9670048319567918,0.0006542441319677657,0.975,0.98,False
z401,401,in_cascade,-0.00039867334914917354,0.9798903026777548,0.00039867334914917354,0.98,0.98,False
z410,410,in_cascade,0.0037622340954470233,0.8119811098362086,0.0037622340954470233,0.836,0.9554285714285714,False
z421,421,in_cascade,-0.0014487610895258275,0.9270165610908373,0.0014487610895258275,0.926,0.9613333333333334,False
z424,424,in_cascade,-0.002252846475256358,0.8867339143153784,0.002252846475256358,0.899,0.9613333333333334,False
z425,425,in_cascade,0.0028825779159635904,0.855383684364933,0.0028825779159635904,0.872,0.9613333333333334,False
z428,428,in_cascade,-0.003678314784896614,0.8160991066754838,0.003678314784896614,0.814,0.9398762886597937,False
z442,442,in_cascade,-0.0008977501484182917,0.9547356049628577,0.0008977501484182917,0.963,0.98,False
z445,445,in_cascade,0.002956030996462671,0.8517407705362288,0.002956030996462671,0.859,0.9613333333333334,False
z446,446,in_cascade,-0.0017811952512603443,0.9103337632809082,0.0017811952512603443,0.927,0.9613333333333334,False
z447,447,in_cascade,-0.0016214043863049098,0.9183481975299723,0.0016214043863049098,0.919,0.9613333333333334,False
