variant,motif,feature_idx,graph_id,graph_idx,num_edges,num_motif_edges,motif_ratio,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc
topk,in_feedback_loop,52,4015,15,18,6,0.3333333333333333,0.5833333333333333,0.7777777777777778,0.4163359788359788,0.6749999999999999
topk,in_feedback_loop,52,4016,16,25,10,0.4,0.5333333333333333,0.5966666666666667,0.6181125739249308,0.5549999999999999
topk,in_feedback_loop,52,4017,17,27,8,0.2962962962962963,0.5657894736842106,0.5723684210526316,0.3466709015622059,0.33191548948127897
topk,in_feedback_loop,52,4018,18,22,10,0.45454545454545453,0.49999999999999994,0.3583333333333334,0.5636363636363636,0.4015347642553525
topk,in_feedback_loop,52,4019,19,22,6,0.2727272727272727,0.7291666666666667,0.7604166666666667,0.41865079365079366,0.6603535353535352
topk,in_feedforward_loop,52,4000,0,25,19,0.76,0.5263157894736842,0.32456140350877194,0.8283653073611521,0.7294736842105263
topk,in_feedforward_loop,52,4001,1,29,28,0.9655172413793104,0.07142857142857142,0.21428571428571427,0.9241237621877221,0.9525584417546034
topk,in_feedforward_loop,52,4002,2,31,27,0.8709677419354839,0.4907407407407407,0.6481481481481481,0.8941665958718827,0.9347244760529712
topk,in_feedforward_loop,52,4003,3,26,24,0.9230769230769231,0.3333333333333333,0.7916666666666667,0.9067694368281592,0.967948717948718
topk,in_feedforward_loop,52,4004,4,19,15,0.7894736842105263,0.55,0.3833333333333333,0.8736842105263158,0.7845029239766081
topk,in_feedforward_loop,52,4005,5,28,25,0.8928571428571429,0.48000000000000004,0.41333333333333333,0.8823781967677108,0.8979253408860626
topk,in_feedforward_loop,52,4006,6,24,23,0.9583333333333334,0.08695652173913043,0.7391304347826086,0.9230488110922894,0.9782608695652172
topk,in_feedforward_loop,52,4007,7,22,16,0.7272727272727273,0.5,0.5,0.7272727272727273,0.7272727272727273
topk,in_feedforward_loop,52,4008,8,21,15,0.7142857142857143,0.3055555555555555,0.5,0.6746031746031746,0.7142857142857143
topk,in_feedforward_loop,52,4009,9,24,19,0.7916666666666666,0.763157894736842,0.736842105263158,0.9247794173490766,0.9078947368421051
