,feature,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,variant,latent_dim,k,sparsity_coef,threshold_init,bandwidth,num_experts,latent_per_expert,k_per_expert,p_empirical,p_fdr,significant_fdr
1326,z425,in_single_input_module,-0.12250162920939273,7.57109137451666e-15,0.12250162920939273,-0.11081599413115176,2.0939014307636836e-12,0.11081599413115176,topk,512.0,16.0,,,,,,,7.57109137451666e-15,7.57109137451666e-15,True
1327,z428,in_single_input_module,-0.16767015681429828,1.3077927810950798e-26,0.16767015681429828,-0.16269767044242056,3.94057378896838e-25,0.16269767044242056,topk,512.0,16.0,,,,,,,1.3077927810950798e-26,1.3077927810950798e-26,True
1328,z446,in_single_input_module,-0.12084286178674894,1.7401735706426604e-14,0.12084286178674894,-0.11791352464224077,7.359865329503536e-14,0.11791352464224077,topk,512.0,16.0,,,,,,,1.7401735706426604e-14,1.7401735706426604e-14,True
1329,z470,in_single_input_module,-0.19314244809418002,6.414995866870652e-35,0.19314244809418002,-0.18546582535879516,2.764591635366043e-32,0.18546582535879516,topk,512.0,16.0,,,,,,,6.414995866870652e-35,6.414995866870652e-35,True
1330,z476,in_single_input_module,-0.11679981113759628,1.2617154722720104e-13,0.11679981113759628,-0.1114576280090803,1.5601931196836682e-12,0.1114576280090803,topk,512.0,16.0,,,,,,,1.2617154722720104e-13,1.2617154722720104e-13,True
1331,z479,in_single_input_module,-0.17119628480625926,1.0955743141384642e-27,0.17119628480625926,-0.1659595559020382,4.271301893908662e-26,0.1659595559020382,topk,512.0,16.0,,,,,,,1.0955743141384642e-27,1.0955743141384642e-27,True
1332,z496,in_single_input_module,-0.17347541709441766,2.1435552659082406e-28,0.17347541709441766,-0.1679041341376339,1.1112309592491856e-26,0.1679041341376339,topk,512.0,16.0,,,,,,,2.1435552659082406e-28,2.1435552659082406e-28,True
1333,z504,in_single_input_module,-0.11639393781591713,1.5336380390371465e-13,0.11639393781591713,-0.10711077519142068,1.1081305337077304e-11,0.10711077519142068,topk,512.0,16.0,,,,,,,1.5336380390371465e-13,1.5336380390371465e-13,True
1334,z506,in_single_input_module,-0.12045964530148139,2.1056843362577124e-14,0.12045964530148139,-0.11738576593698283,9.507688397561249e-14,0.11738576593698283,topk,512.0,16.0,,,,,,,2.1056843362577124e-14,2.1056843362577124e-14,True
1335,z15,in_cascade,-0.0015496022846797118,0.9219522390877878,0.0015496022846797118,6.336652433823996e-06,0.9996803356725198,6.336652433823996e-06,topk,512.0,16.0,,,,,,,0.9219522390877878,0.9219522390877878,False
1336,z23,in_cascade,0.007594121748214477,0.6311198551782773,0.007594121748214477,4.879196265413031e-05,0.9975386016861776,4.879196265413031e-05,topk,512.0,16.0,,,,,,,0.6311198551782773,0.6311198551782773,False
1337,z33,in_cascade,0.006580429854276258,0.6773680344891764,0.006580429854276258,3.592625152696802e-05,0.998187634308769,3.592625152696802e-05,topk,512.0,16.0,,,,,,,0.6773680344891764,0.6773680344891764,False
1338,z38,in_cascade,-0.06703274253916117,2.2058040831205246e-05,0.06703274253916117,-6.460812409862186e-05,0.9967407308682109,6.460812409862186e-05,topk,512.0,16.0,,,,,,,2.2058040831205246e-05,2.2058040831205246e-05,True
1339,z41,in_cascade,0.003429624807372719,0.8283319763755715,0.003429624807372719,1.28401143527513e-05,0.9993522563812338,1.28401143527513e-05,topk,512.0,16.0,,,,,,,0.8283319763755715,0.8283319763755715,False
