feature,feature_idx,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,p_empirical,p_fdr,significant_fdr
z187,187,in_feedforward_loop,-0.14589117716937988,1.7972833653888306e-20,0.14589117716937988,-0.21941791016878456,8.343169679983421e-45,0.21941791016878456,0.0,0.0,True
z188,188,in_feedforward_loop,-0.026922676947197837,0.08865868262165845,0.026922676947197837,-0.002201184721648255,0.8893143895695261,0.002201184721648255,0.899,0.999,False
z192,192,in_feedforward_loop,-0.0866420100157098,4.057467818354524e-08,0.0866420100157098,-0.11591288448704928,1.9311013954618819e-13,0.11591288448704928,0.0,0.0,True
z195,195,in_feedforward_loop,-0.019039567573535403,0.22862794335357173,0.019039567573535403,-0.0015092462058983278,0.9239785842476071,0.0015092462058983278,0.951,0.999,False
z201,201,in_feedforward_loop,-0.08722970540282475,3.281714301875521e-08,0.08722970540282475,-0.12583584973389006,1.3732389355779798e-15,0.12583584973389006,0.0,0.0,True
z204,204,in_feedforward_loop,-0.09309915506061103,3.6552843890361432e-09,0.09309915506061103,-0.14159714821203667,2.2994995469375013e-19,0.14159714821203667,0.0,0.0,True
z207,207,in_feedforward_loop,-0.11465337469434356,3.514749891088023e-13,0.11465337469434356,-0.16453048559420827,1.137063373038467e-25,0.16453048559420827,0.0,0.0,True
z212,212,in_feedforward_loop,-0.14718677411478231,8.203127727619272e-21,0.14718677411478231,-0.22057809077748222,2.8402239631429683e-45,0.22057809077748222,0.0,0.0,True
z217,217,in_feedforward_loop,-0.12056803640915854,1.99526261193738e-14,0.12056803640915854,-0.17332813755488286,2.383499634750002e-28,0.17332813755488286,0.0,0.0,True
z224,224,in_feedforward_loop,-0.027610620309235286,0.08080469187979111,0.027610620309235286,-0.0022363177588126068,0.8875593850746887,0.0022363177588126068,0.893,0.999,False
z225,225,in_feedforward_loop,-0.06803733225948899,1.6570459572781217e-05,0.06803733225948899,-0.10293923644219183,6.765949454797813e-11,0.10293923644219183,0.0,0.0,True
z235,235,in_feedforward_loop,-0.07624577690973844,1.3809977008518237e-06,0.07624577690973844,-0.1164515155222152,1.4918197476905377e-13,0.1164515155222152,0.0,0.0,True
z237,237,in_feedforward_loop,-0.11475107860879386,3.355980260440834e-13,0.11475107860879386,-0.16525222645594706,6.942338115852569e-26,0.16525222645594706,0.0,0.0,True
z239,239,in_feedforward_loop,-0.08583224292294006,5.4231852423511145e-08,0.08583224292294006,-0.11608747863384958,1.7763506620578817e-13,0.11608747863384958,0.0,0.0,True
z244,244,in_feedforward_loop,-0.12921165480779437,2.32673218732125e-16,0.12921165480779437,-0.19389596170422463,3.4872974184667873e-35,0.19389596170422463,0.0,0.0,True
z252,252,in_feedforward_loop,-0.08594165773438986,5.2154968782200916e-08,0.08594165773438986,-0.11767703393809023,8.255866318160735e-14,0.11767703393809023,0.0,0.0,True
z8,8,in_feedback_loop,0.3569093419637248,1.7903439447945202e-120,0.3569093419637248,0.2983895635931626,4.652816982577218e-83,0.2983895635931626,0.0,0.0,True
z9,9,in_feedback_loop,0.276747276859715,3.0356330646105418e-71,0.276747276859715,0.23065832388566748,1.8765498642717297e-49,0.23065832388566748,0.0,0.0,True
z36,36,in_feedback_loop,0.42297074699109616,2.2253378804793507e-173,0.42297074699109616,0.3576205043970715,5.576723110487585e-121,0.3576205043970715,0.0,0.0,True
z37,37,in_feedback_loop,0.32792573115800205,6.543913694228211e-101,0.32792573115800205,0.2740666382238961,7.473407778266324e-70,0.2740666382238961,0.0,0.0,True
z43,43,in_feedback_loop,0.038739068209245706,0.01427658859878556,0.038739068209245706,0.03139080762655321,0.04712248177723308,0.03139080762655321,0.057,0.08090322580645161,False
z47,47,in_feedback_loop,0.2387384666266619,5.940133397450142e-53,0.2387384666266619,0.1962851150316952,4.965010553225458e-36,0.1962851150316952,0.0,0.0,True
z58,58,in_feedback_loop,0.05756144088501622,0.00027012111173033447,0.05756144088501622,0.06466997057944213,4.2565397633177134e-05,0.06466997057944213,0.0,0.0,True
z63,63,in_feedback_loop,0.22087637572471222,2.1507937153355922e-45,0.22087637572471222,0.1900861821619328,7.406560844680402e-34,0.1900861821619328,0.0,0.0,True
z64,64,in_feedback_loop,0.25272137287356733,2.5091805797435387e-59,0.25272137287356733,0.20876111032856579,1.2432270063533834e-40,0.20876111032856579,0.0,0.0,True
z65,65,in_feedback_loop,-0.02716580150623138,0.08581555474774512,0.02716580150623138,-0.001041666921055168,0.9474891053936824,0.001041666921055168,0.952,0.999,False
z71,71,in_feedback_loop,0.23738919205996944,2.33061450365822e-52,0.23738919205996944,0.19939570745625174,3.776769550177691e-37,0.19939570745625174,0.0,0.0,True
z73,73,in_feedback_loop,0.25642718017913263,4.38223897418934e-61,0.25642718017913263,0.21220574919521046,5.892036943534123e-42,0.21220574919521046,0.0,0.0,True
z77,77,in_feedback_loop,0.39932574841801305,4.900255916843436e-153,0.39932574841801305,0.3396741269239203,1.3718652353338317e-108,0.3396741269239203,0.0,0.0,True
z101,101,in_feedback_loop,0.22333021486673693,2.150031070753073e-46,0.22333021486673693,0.19071690963502774,4.485775489647307e-34,0.19071690963502774,0.0,0.0,True
z107,107,in_feedback_loop,0.22845229663775124,1.6057720417223617e-48,0.22845229663775124,0.19462886082565556,1.9229588589523903e-35,0.19462886082565556,0.0,0.0,True
z112,112,in_feedback_loop,-0.023078589282253648,0.1444670656547094,0.023078589282253648,-0.0018253660086593108,0.9081199176719996,0.0018253660086593108,0.925,0.999,False
z117,117,in_feedback_loop,0.36060649326702454,4.029539242352797e-123,0.36060649326702454,0.3059387281607082,1.9870888102979394e-87,0.3059387281607082,0.0,0.0,True
z118,118,in_feedback_loop,0.23127116237003703,1.0294493610915063e-49,0.23127116237003703,0.19364651275879396,4.268165963304568e-35,0.19364651275879396,0.0,0.0,True
z121,121,in_feedback_loop,0.2160511581060419,1.837141519866243e-43,0.2160511581060419,0.18572616726778504,2.2601728993516743e-32,0.18572616726778504,0.0,0.0,True
z122,122,in_feedback_loop,0.24426257201349122,2.014162624557719e-55,0.24426257201349122,0.20232929638479438,3.196838594204329e-38,0.20232929638479438,0.0,0.0,True
