feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z16,16,in_cascade,-0.015700542976881754,0.32083650216539633,0.015700542976881754,0.551,0.5956756756756757,False
z17,17,in_cascade,-0.025969197828360192,0.10054858702812765,0.025969197828360192,0.122,0.1644283995186522,False
z18,18,in_cascade,-0.07194948473761692,5.23938679573778e-06,0.07194948473761692,0.0,0.0,True
z19,19,in_cascade,-0.03933044205226479,0.012858638079907949,0.03933044205226479,0.01,0.017391304347826087,True
z20,20,in_cascade,-0.044747232142967615,0.004646126081486395,0.044747232142967615,0.006,0.010909090909090908,True
z22,22,in_cascade,0.05443974316722683,0.0005720109099683758,0.05443974316722683,0.001,0.0021538461538461538,True
z27,27,in_cascade,-0.030083791767696738,0.057105562296500254,0.030083791767696738,0.052,0.07633027522935779,False
z29,29,in_cascade,-0.03391510866151165,0.03195873057011245,0.03391510866151165,0.032,0.05026647966339411,False
z30,30,in_cascade,0.031626730190072276,0.045486747154805565,0.031626730190072276,0.038,0.058301369863013694,False
z31,31,in_cascade,-0.04122057129672793,0.009125639603933625,0.04122057129672793,0.008,0.014267515923566879,True
z32,32,in_cascade,-0.011182085482125077,0.4795551380556767,0.011182085482125077,0.647,0.6816933207902164,False
z33,33,in_cascade,0.08350739120139873,1.2294637903347998e-07,0.08350739120139873,0.0,0.0,True
z36,36,in_cascade,-0.022370523434647176,0.15719433510486355,0.022370523434647176,0.181,0.2332796317606444,False
z37,37,in_cascade,0.08760169813806112,2.86722321401189e-08,0.08760169813806112,0.0,0.0,True
z41,41,in_cascade,-0.056177199569825836,0.0003784756944168108,0.056177199569825836,0.001,0.0021538461538461538,True
z43,43,in_cascade,-0.005936359809045632,0.7074118432047177,0.005936359809045632,0.721,0.7504832713754647,False
z44,44,in_cascade,-0.01555840605225755,0.32523746945453474,0.01555840605225755,0.315,0.37652081109925295,False
z47,47,in_cascade,-0.04168484084247187,0.008371613301357734,0.04168484084247187,0.01,0.017391304347826087,True
z48,48,in_cascade,0.00578726629402425,0.7144340811701663,0.00578726629402425,0.659,0.6917338331771322,False
z49,49,in_cascade,0.04046260466790262,0.010487472100274774,0.04046260466790262,0.036,0.05576763485477178,False
z51,51,in_cascade,-0.036898142270439416,0.01961098001245629,0.036898142270439416,0.016,0.02686656671664168,True
z53,53,in_cascade,0.0602646627284072,0.00013687551302160876,0.0602646627284072,0.0,0.0,True
z54,54,in_cascade,-0.011181655282301561,0.4795720425817323,0.011181655282301561,0.751,0.7791304347826087,False
z56,56,in_cascade,-0.04854105371076836,0.002134457240224751,0.04854105371076836,0.002,0.004072727272727273,True
z58,58,in_cascade,-0.05273903399600635,0.0008475224609983592,0.05273903399600635,0.002,0.004072727272727273,True
z60,60,in_cascade,-0.04954019243369996,0.001723574222459619,0.04954019243369996,0.002,0.004072727272727273,True
z65,65,in_cascade,-0.06523111320480474,3.6484230554943496e-05,0.06523111320480474,0.0,0.0,True
z66,66,in_cascade,-0.04141937699523624,0.008795635197701929,0.04141937699523624,0.01,0.017391304347826087,True
z67,67,in_cascade,-0.055286512899402715,0.0004683942082826607,0.055286512899402715,0.001,0.0021538461538461538,True
z70,70,in_cascade,-0.04278632771847002,0.006800916930028011,0.04278632771847002,0.007,0.01264516129032258,True
z71,71,in_cascade,-0.04488867205029967,0.004517680810656841,0.04488867205029967,0.005,0.009271523178807948,True
z75,75,in_cascade,-0.03092250918670624,0.05051611609427011,0.03092250918670624,0.051,0.07525691699604742,False
z76,76,in_cascade,-0.034939663712821346,0.02712165872697253,0.034939663712821346,0.021,0.034436310395314786,True
z77,77,in_cascade,-0.057670793081393765,0.0002629368599142929,0.057670793081393765,0.0,0.0,True
z81,81,in_cascade,-0.049701663243078814,0.0016644483376990198,0.049701663243078814,0.004,0.0075803722504230115,True
z82,82,in_cascade,0.051923770921901716,0.0010193269661561417,0.051923770921901716,0.0,0.0,True
z85,85,in_cascade,-0.01124148413307462,0.4772242153481612,0.01124148413307462,0.514,0.5632876712328767,False
z86,86,in_cascade,-0.05783112215080207,0.000252726636959837,0.05783112215080207,0.0,0.0,True
z88,88,in_cascade,-0.021667331076710587,0.17065728848386427,0.021667331076710587,0.277,0.33868995633187776,False
z90,90,in_cascade,0.009341380426393977,0.5547690253223976,0.009341380426393977,0.582,0.6231739961759082,False
z91,91,in_cascade,-0.06111328896812091,0.00010993387795057288,0.06111328896812091,0.0,0.0,True
z93,93,in_cascade,0.06855863450513257,1.4262528242009996e-05,0.06855863450513257,0.0,0.0,True
z95,95,in_cascade,-0.027568957543139462,0.08126370539169367,0.027568957543139462,0.075,0.10632911392405062,False
z99,99,in_cascade,0.05571585167399356,0.0004228166344027461,0.05571585167399356,0.0,0.0,True
z100,100,in_cascade,-0.014716050313265954,0.3521204250379934,0.014716050313265954,0.367,0.4272765072765073,False
z101,101,in_cascade,-0.06690579964684913,2.2863577036254107e-05,0.06690579964684913,0.0,0.0,True
z105,105,in_cascade,-0.02189863090292595,0.1661368189023565,0.02189863090292595,0.234,0.2902325581395349,False
z108,108,in_cascade,-0.0088075080529032,0.5776145991966188,0.0088075080529032,0.611,0.6511132254995242,False
z109,109,in_cascade,-0.060608285101337464,0.00012529245798690287,0.060608285101337464,0.0,0.0,True
z110,110,in_cascade,-0.036928185770221965,0.01951156797415254,0.036928185770221965,0.025,0.04017216642754663,True
z111,111,in_cascade,-0.034915485291348136,0.027228086098760956,0.034915485291348136,0.022,0.03586608442503639,True
z112,112,in_cascade,-0.053285605219418414,0.0007478189587656783,0.053285605219418414,0.001,0.0021538461538461538,True
z113,113,in_cascade,-0.042787137189431106,0.006799867290565225,0.042787137189431106,0.009,0.015874015748031496,True
z115,115,in_cascade,-0.04306815852247861,0.006444142114289538,0.04306815852247861,0.008,0.014267515923566879,True
z116,116,in_cascade,-0.036089548980809655,0.022457854456469514,0.036089548980809655,0.032,0.05026647966339411,False
z118,118,in_cascade,0.04003003795429277,0.011343164825945442,0.04003003795429277,0.031,0.048901408450704224,True
z120,120,in_cascade,0.08922760214184985,1.578889685735698e-08,0.08922760214184985,0.0,0.0,True
z123,123,in_cascade,-0.03445797326360812,0.029310905337488338,0.03445797326360812,0.024,0.03873198847262248,True
z128,128,in_cascade,-0.0197933109282021,0.21072650303529725,0.0197933109282021,0.287,0.34939130434782606,False
z129,129,in_cascade,-0.05241167954850204,0.0009129988459999802,0.05241167954850204,0.001,0.0021538461538461538,True
z130,130,in_cascade,-0.013137031800041688,0.40617985427463354,0.013137031800041688,0.39,0.4498455200823893,False
z132,132,in_cascade,-0.051495542701669346,0.0011219733183636758,0.051495542701669346,0.003,0.005863874345549739,True
z134,134,in_cascade,-0.01937851298587806,0.22044836006052404,0.01937851298587806,0.349,0.4127560718057022,False
z135,135,in_cascade,-0.01347383093953236,0.3942517116021603,0.01347383093953236,0.449,0.5048995983935743,False
z136,136,in_cascade,-0.031198868301280522,0.04848949597527615,0.031198868301280522,0.042,0.06348178137651822,False
z137,137,in_cascade,-0.037910950601187446,0.016493346372657963,0.037910950601187446,0.019,0.031294117647058826,True
z138,138,in_cascade,-0.025578053462580866,0.10577963937015127,0.025578053462580866,0.153,0.2016,False
z140,140,in_cascade,-0.04199752451391293,0.007895680030937356,0.04199752451391293,0.009,0.015874015748031496,True
z141,141,in_cascade,-0.021223060585870257,0.1795973485755192,0.021223060585870257,0.221,0.27625,False
z142,142,in_cascade,0.04953091768644153,0.0017270283041865774,0.04953091768644153,0.0,0.0,True
z144,144,in_cascade,0.044238267440685326,0.005136137263650387,0.044238267440685326,0.0,0.0,True
z145,145,in_cascade,-0.06613293840437558,2.84051165016194e-05,0.06613293840437558,0.0,0.0,True
z147,147,in_cascade,0.03162673019007226,0.045486747154805565,0.03162673019007226,0.165,0.21563593932322056,False
z148,148,in_cascade,0.046624260777895395,0.0031833030174409685,0.046624260777895395,0.0,0.0,True
z151,151,in_cascade,-0.06321460190151214,6.313015663817963e-05,0.06321460190151214,0.0,0.0,True
z152,152,in_cascade,-0.03395542095621963,0.03175529460618495,0.03395542095621963,0.025,0.04017216642754663,True
z153,153,in_cascade,-0.03023725636967985,0.05584907041512749,0.03023725636967985,0.043,0.06490566037735848,False
z154,154,in_cascade,-0.028297885046142113,0.07353201589800912,0.028297885046142113,0.071,0.10104193138500635,False
z156,156,in_cascade,-0.06197299928459925,8.779449342433269e-05,0.06197299928459925,0.001,0.0021538461538461538,True
z158,158,in_cascade,-0.01424129748099047,0.3678739660887793,0.01424129748099047,0.412,0.47037716615698266,False
z160,160,in_cascade,0.0019256574257862384,0.9030959700826292,0.0019256574257862384,1.0,1.0,False
z162,162,in_cascade,-0.04942700252425042,0.0017661655888148928,0.04942700252425042,0.002,0.004072727272727273,True
z164,164,in_cascade,0.040538209161736415,0.010343953339410138,0.040538209161736415,0.033,0.05154811715481172,False
z165,165,in_cascade,-0.051049133811547735,0.001239082819454892,0.051049133811547735,0.0,0.0,True
z167,167,in_cascade,0.050574699576365054,0.0013758371222781704,0.050574699576365054,0.006,0.010909090909090908,True
z168,168,in_cascade,-0.03441059868113342,0.02953420928247486,0.03441059868113342,0.027,0.04301564722617354,True
z169,169,in_cascade,-0.04417863266876445,0.005196506377822699,0.04417863266876445,0.003,0.005863874345549739,True
z172,172,in_cascade,-0.026496808230904906,0.09382133303831493,0.026496808230904906,0.1,0.13776137761377616,False
z173,173,in_cascade,-0.037121048498979334,0.018883815798915474,0.037121048498979334,0.017,0.028291233283803868,True
z176,176,in_cascade,0.031626730190072276,0.045486747154805565,0.031626730190072276,0.042,0.06348178137651822,False
z178,178,in_cascade,-0.046036679241832086,0.0035883616301753104,0.046036679241832086,0.002,0.004072727272727273,True
z179,179,in_cascade,-0.03500090397661158,0.02685369884841006,0.03500090397661158,0.023,0.03738751814223512,True
z180,180,in_cascade,-0.02809233915627378,0.0756487614815816,0.02809233915627378,0.107,0.14614634146341465,False
z181,181,in_cascade,-0.007906682547518067,0.6171356106597148,0.007906682547518067,0.776,0.7980899908172636,False
z182,182,in_cascade,-0.015637492873355904,0.3227838918418825,0.015637492873355904,0.361,0.4239416058394161,False
z184,184,in_cascade,-0.015733627698937193,0.319817711055519,0.015733627698937193,0.469,0.5237088733798604,False
z186,186,in_cascade,0.031626730190072276,0.045486747154805565,0.031626730190072276,0.038,0.058301369863013694,False
z190,190,in_cascade,-0.014158143675335872,0.3706777106264371,0.014158143675335872,0.397,0.45510747185261,False
z191,191,in_cascade,-0.05966636273182737,0.00015948417883586614,0.05966636273182737,0.0,0.0,True
z192,192,in_cascade,-0.0731554701783386,3.6299339439327706e-06,0.0731554701783386,0.0,0.0,True
z195,195,in_cascade,-0.03226206616092711,0.041317908574872074,0.03226206616092711,0.049,0.07278514588859417,False
z196,196,in_cascade,-0.06241180731842551,7.818826941288537e-05,0.06241180731842551,0.0,0.0,True
z197,197,in_cascade,0.031626730190072276,0.045486747154805565,0.031626730190072276,0.046,0.06878504672897197,False
z198,198,in_cascade,0.023853425947909408,0.13146082685507343,0.023853425947909408,0.122,0.1644283995186522,False
z199,199,in_cascade,-0.007906682547518067,0.6171356106597148,0.007906682547518067,0.288,0.35022801302931594,False
z200,200,in_cascade,-0.04399316623043113,0.005388374679677355,0.04399316623043113,0.004,0.0075803722504230115,True
z202,202,in_cascade,-0.04117764678631542,0.009198325385052098,0.04117764678631542,0.006,0.010909090909090908,True
z204,204,in_cascade,-0.047308640340494486,0.002764293330714306,0.047308640340494486,0.002,0.004072727272727273,True
z205,205,in_cascade,-0.05802439070444936,0.00024091286021672655,0.05802439070444936,0.001,0.0021538461538461538,True
z206,206,in_cascade,-0.027294302716615964,0.08434286382307782,0.027294302716615964,0.076,0.10761061946902654,False
z208,208,in_cascade,-0.048155634961465604,0.0023156463947446625,0.048155634961465604,0.002,0.004072727272727273,True
z209,209,in_cascade,-0.03896332783430763,0.01372341224875798,0.03896332783430763,0.009,0.015874015748031496,True
z210,210,in_cascade,-0.026833519355184764,0.08972012901659776,0.026833519355184764,0.112,0.15260340632603409,False
z212,212,in_cascade,0.05091317269408471,0.0012769316795444643,0.05091317269408471,0.006,0.010909090909090908,True
z213,213,in_cascade,0.06946059113232114,1.0975142134352172e-05,0.06946059113232114,0.0,0.0,True
z215,215,in_cascade,-0.044144607708274816,0.0052312367666781465,0.044144607708274816,0.004,0.0075803722504230115,True
z216,216,in_cascade,-0.06512472270963171,3.7569861971114716e-05,0.06512472270963171,0.001,0.0021538461538461538,True
z218,218,in_cascade,-0.02278342953743893,0.149673062773116,0.02278342953743893,0.121,0.16347406513872134,False
z220,220,in_cascade,-0.05840434016985892,0.00021918236792485392,0.05840434016985892,0.0,0.0,True
z221,221,in_cascade,-0.02995106674060051,0.058211121386022,0.02995106674060051,0.059,0.08526451612903226,False
